run_id,set,task_id,category,easy,condition,rep,uncached_equivalent_all,uncached_equivalent,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens_all,output_tokens,subagents_spawned,first_turn_cache_creation,total_cost_usd,num_turns,duration_ms,duration_api_ms,tool_read,tool_grep,tool_glob,tool_bash,tool_bash_graphify,tool_calls_total,tool_result_bytes_total,read_graph_json,skill_attributions,is_error,terminal_reason,permission_denials,score,success
DDIS1-permissions-and-role-gates__baseline__r1,docs,DDIS1-permissions-and-role-gates,discrepancy,false,baseline,1,842069,250617,12,11607,238998,17284,7781,1,10421,0.5974681000000001,6,86463,190879,1,0,0,4,0,11,7670,false,0,false,completed,0,1,true
DDIS1-permissions-and-role-gates__graphify-strict-v2__r1,docs,DDIS1-permissions-and-role-gates,discrepancy,false,graphify-strict-v2,1,559588,558560,24,42410,516126,4558,4544,0,11017,0.31945120000000005,12,68158,68095,4,0,0,6,1,11,62501,false,0,false,completed,0,1,true
DDIS1-permissions-and-role-gates__graphify-v2__r1,docs,DDIS1-permissions-and-role-gates,discrepancy,false,graphify-v2,1,726053,725025,26,41160,683839,7651,7634,0,11009,0.3789128,19,107591,107579,5,0,0,12,1,18,108677,false,0,false,completed,0,1,true
DDIS1-permissions-and-role-gates__haiku-baseline__r1,docs,DDIS1-permissions-and-role-gates,discrepancy,false,haiku-baseline,1,2068710,2067682,250,76794,1990638,10493,10476,0,8047,0.40639480000000006,33,132379,132712,12,0,0,20,0,32,167354,false,0,false,completed,0,1,true
DDIS1-permissions-and-role-gates__haiku-graphify-v2__r1,docs,DDIS1-permissions-and-role-gates,discrepancy,false,haiku-graphify-v2,1,964007,962979,174,65451,897354,6645,6629,0,8459,0.25506439999999997,22,92464,91921,12,0,0,7,2,21,159029,false,0,false,completed,0,0.8,true
DDIS2-time-and-retry-constants__baseline__r1,docs,DDIS2-time-and-retry-constants,discrepancy,false,baseline,1,1135969,74038,4,6409,67625,19360,1723,1,10440,0.6576027,2,16688,247026,0,0,0,1,0,5,3316,false,0,false,completed,0,0.5,false
DDIS2-time-and-retry-constants__graphify-strict-v2__r1,docs,DDIS2-time-and-retry-constants,discrepancy,false,graphify-strict-v2,1,1132299,1131258,44,53123,1078091,8993,8977,0,11028,0.5190891999999998,22,116175,115660,8,0,0,12,1,21,68428,false,0,false,completed,0,0.5714285714285715,false
DDIS2-time-and-retry-constants__graphify-v2__r1,docs,DDIS2-time-and-retry-constants,discrepancy,false,graphify-v2,1,851027,849986,36,44764,805186,6451,6435,0,11032,0.4056362,18,74843,74207,0,0,0,15,2,17,62317,false,0,false,completed,0,1,true
DDIS2-time-and-retry-constants__haiku-baseline__r1,docs,DDIS2-time-and-retry-constants,discrepancy,false,haiku-baseline,1,1036802,1035761,154,65367,970240,7748,7732,0,8066,0.26769299999999996,24,99040,99390,11,0,0,12,0,23,145488,false,0,false,completed,0,0.8,true
DDIS2-time-and-retry-constants__haiku-graphify-v2__r1,docs,DDIS2-time-and-retry-constants,discrepancy,false,haiku-graphify-v2,1,1013975,1012934,192,67600,945142,7710,7694,0,8496,0.26949720000000005,20,113675,113168,12,0,0,4,3,19,153352,false,0,false,completed,0,0.4,false
DDIS3-schema-indexes__baseline__r1,docs,DDIS3-schema-indexes,discrepancy,false,baseline,1,440396,439382,24,26255,413103,4957,4944,0,10416,0.2382076,12,55131,55399,1,0,0,10,0,11,29502,false,0,false,completed,0,1,true
DDIS3-schema-indexes__graphify-strict-v2__r1,docs,DDIS3-schema-indexes,discrepancy,false,graphify-strict-v2,1,807882,806868,36,40560,766272,6713,6700,0,10977,0.3836454,18,93164,92789,3,0,0,13,1,17,51345,false,0,false,completed,0,1,true
