run_id,set,task_id,category,easy,condition,rep,uncached_equivalent_all,uncached_equivalent,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens_all,output_tokens,subagents_spawned,first_turn_cache_creation,total_cost_usd,num_turns,duration_ms,duration_api_ms,tool_read,tool_grep,tool_glob,tool_bash,tool_bash_graphify,tool_calls_total,tool_result_bytes_total,read_graph_json,skill_attributions,is_error,terminal_reason,permission_denials,score,success
XEXP1-webhook-delivery__baseline__r1,ext,XEXP1-webhook-delivery,explain,false,baseline,1,470389,170467,10,4456,166001,8482,2402,1,10442,0.3211371,5,26447,96227,0,0,0,4,0,6,3714,false,0,false,completed,0,1,true
XEXP1-webhook-delivery__graphify__r1,ext,XEXP1-webhook-delivery,explain,false,graphify,1,580485,579447,26,42174,537247,6681,6669,0,11037,0.34398539999999994,21,84847,84218,11,0,0,4,5,20,51761,false,0,false,completed,0,1,true
XEXP2-invitation-lifecycle__baseline__r1,ext,XEXP2-invitation-lifecycle,explain,false,baseline,1,1262666,38675,2,7634,31039,23511,3139,1,10417,0.7210042,1,30152,257241,0,0,0,0,0,3,1542,false,0,false,completed,0,1,true
XEXP2-invitation-lifecycle__graphify__r1,ext,XEXP2-invitation-lifecycle,explain,false,graphify,1,1574389,1573362,48,82748,1490566,17125,17112,0,10998,0.8014131999999998,43,207665,205405,19,0,0,13,10,42,125503,false,0,false,completed,0,1,true
XEXP3-plan-change__baseline__r1,ext,XEXP3-plan-change,explain,false,baseline,1,931867,218187,12,23672,194503,14309,4250,1,10419,0.5811942,7,156710,157260,2,0,0,3,0,6,25252,false,0,false,completed,0,1,true
XEXP3-plan-change__graphify__r1,ext,XEXP3-plan-change,explain,false,graphify,1,788593,787566,30,58550,728986,11247,11234,0,11012,0.4934892,25,135962,135477,13,0,0,7,4,24,73119,false,0,false,completed,0,1,true
XEXP4-signin-to-actor__baseline__r1,ext,XEXP4-signin-to-actor,explain,false,baseline,1,405731,101402,6,17556,83840,11592,3261,1,10444,0.3677969,3,115232,115910,0,0,0,1,0,2,14088,false,0,false,completed,0,0.8,true
XEXP4-signin-to-actor__graphify__r1,ext,XEXP4-signin-to-actor,explain,false,graphify,1,416261,415219,18,40693,374508,5209,5195,0,11029,0.2907716000000001,18,62351,62124,12,0,0,3,2,17,53774,false,0,false,completed,0,1,true
XEXP5-search-index__baseline__r1,ext,XEXP5-search-index,explain,false,baseline,1,635889,76951,4,10527,66420,13788,2924,1,10425,0.49073620000000007,3,31700,162247,0,0,0,2,0,3,12461,false,0,false,completed,0,0.8,true
XEXP5-search-index__graphify__r1,ext,XEXP5-search-index,explain,false,graphify,1,497839,496817,22,44420,452375,6348,6335,0,10979,0.33263600000000004,19,75776,75289,12,0,0,3,3,18,61323,false,0,false,completed,0,0.8,true
XEXP6-overdue-sweep__baseline__r1,ext,XEXP6-overdue-sweep,explain,false,baseline,1,574157,76494,4,10413,66077,13590,2000,1,10436,0.44978380000000007,3,23759,175577,2,0,0,0,0,3,12146,false,0,false,completed,0,1,true
XEXP6-overdue-sweep__graphify__r1,ext,XEXP6-overdue-sweep,explain,false,graphify,1,721634,720596,32,41885,678679,7203,7189,0,11004,0.3763378,21,96623,96291,9,0,0,9,2,20,51067,false,0,false,completed,0,1,true
XFIX1-csv-quote-escape__baseline__r1,ext,XFIX1-csv-quote-escape,fix,false,baseline,1,121631,120649,8,12416,108225,706,692,0,10352,0.07929699999999999,4,14389,14947,1,0,0,1,0,3,2698,false,0,false,completed,0,1,true
XFIX1-csv-quote-escape__graphify__r1,ext,XFIX1-csv-quote-escape,fix,false,graphify,1,162851,161869,10,16008,145851,756,741,0,10934,0.10168920000000001,5,12797,13128,1,0,0,1,1,4,8638,false,0,false,completed,0,1,true
XFIX2-mention-inside-code__baseline__r1,ext,XFIX2-mention-inside-code,fix,false,baseline,1,224389,223403,14,15265,208124,1674,1660,0,10351,0.1203688,7,25468,23860,1,0,0,4,0,6,6568,false,0,false,completed,0,1,true
XFIX2-mention-inside-code__graphify__r1,ext,XFIX2-mention-inside-code,fix,false,graphify,1,164117,163131,10,16866,146255,1328,1312,0,10938,0.110921,5,21167,21450,1,0,0,1,1,4,9866,true,0,false,completed,0,1,true
XFIX3-last-owner-removable__baseline__r1,ext,XFIX3-last-owner-removable,fix,false,baseline,1,319094,318108,18,21808,296282,2104,2093,0,10380,0.16849540000000002,9,32421,30318,1,0,0,6,0,8,20746,false,0,false,completed,0,1,true
XFIX3-last-owner-removable__graphify__r1,ext,XFIX3-last-owner-removable,fix,false,graphify,1,330313,329327,18,23231,306078,2482,2468,0,10949,0.17991160000000003,9,32400,32458,2,0,0,3,1,8,19709,false,0,false,completed,0,1,true
XFIX4-advanced-search-inverted__baseline__r1,ext,XFIX4-advanced-search-inverted,fix,false,baseline,1,313073,99584,6,3030,96548,3853,479,1,10372,0.19690169999999999,3,8592,56333,1,0,0,1,0,5,2115,false,0,false,completed,0,1,true
XFIX4-advanced-search-inverted__graphify__r1,ext,XFIX4-advanced-search-inverted,fix,false,graphify,1,171544,170550,10,20407,150133,1193,1176,0,10950,0.1245136,6,19858,20162,2,0,0,1,1,5,17757,false,0,false,completed,0,1,true
XFIX5-self-notification__baseline__r1,ext,XFIX5-self-notification,fix,false,baseline,1,269418,124836,8,14110,110718,4898,1460,1,10340,0.21505520000000006,4,67354,67794,1,0,0,0,0,3,5508,false,0,false,completed,0,0,false
XFIX5-self-notification__graphify__r1,ext,XFIX5-self-notification,fix,false,graphify,1,217670,216697,12,22676,194009,1481,1467,0,10918,0.1452428,7,22199,22605,2,0,0,1,1,5,22129,false,0,false,completed,0,0,false
XFIX6-revoked-invite-accepted__baseline__r1,ext,XFIX6-revoked-invite-accepted,fix,false,baseline,1,229981,229000,14,17604,211382,1233,1220,0,10343,0.1259664,7,26832,27499,2,0,0,3,0,6,12432,false,0,false,completed,0,1,true
XFIX6-revoked-invite-accepted__graphify__r1,ext,XFIX6-revoked-invite-accepted,fix,false,graphify,1,216606,215625,12,23876,191737,1582,1567,0,10918,0.1506014,8,22881,23252,4,0,0,1,1,7,23284,false,0,false,completed,0,0,false
XIMP1-role-union__baseline__r1,ext,XIMP1-role-union,impact,false,baseline,1,205718,204716,12,20365,184339,3584,3571,0,10372,0.15512879999999998,6,38153,38709,1,0,0,4,0,5,14551,false,0,false,completed,0,0.8421052631578948,false
XIMP1-role-union__graphify__r1,ext,XIMP1-role-union,impact,false,graphify,1,469232,468230,20,43270,424940,12210,12197,0,10934,0.381145,10,125132,125625,0,0,0,8,1,9,47301,false,0,false,completed,0,0.8421052631578948,false
XIMP2-rename-comment-created__baseline__r1,ext,XIMP2-rename-comment-created,impact,true,baseline,1,89883,88912,6,11500,77406,776,762,0,10339,0.0701542,3,12921,13586,0,0,0,2,0,2,1352,false,0,false,completed,0,0.7142857142857143,false
