run_id,task_id,category,condition,rep,uncached_equivalent_all,uncached_equivalent,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens_all,output_tokens,subagents_spawned,first_turn_cache_creation,total_cost_usd,num_turns,duration_ms,duration_api_ms,tool_read,tool_grep,tool_glob,tool_bash,tool_bash_graphify,tool_calls_total,tool_result_bytes_total,read_graph_json,skill_attributions,is_error,terminal_reason,permission_denials,score,success
EXP1-issue-create-flow__baseline__r1,EXP1-issue-create-flow,explain,baseline,1,875633,65723,4,17810,47909,17551,3044,1,10391,0.5587147000000001,2,189377,189694,0,0,0,0,0,1,16130,false,0,false,completed,0,1,true
EXP1-issue-create-flow__graphify__r1,EXP1-issue-create-flow,explain,graphify,1,683845,682832,24,66856,615952,8974,8961,0,10980,0.4813504,27,102847,102543,21,0,0,3,2,26,104687,false,0,false,completed,0,1,true
EXP2-comment-mention-notify__baseline__r1,EXP2-comment-mention-notify,explain,baseline,1,559532,153504,8,10330,143166,13037,2602,1,10430,0.4121104,4,29637,154048,1,0,0,2,0,4,13097,false,0,false,completed,0,1,true
EXP2-comment-mention-notify__graphify__r1,EXP2-comment-mention-notify,explain,graphify,1,308591,307569,16,27687,279866,5074,5062,0,10997,0.21845520000000002,12,60110,60414,1,0,0,9,1,11,29421,false,0,false,completed,0,1,true
EXP3-digest-pipeline__baseline__r1,EXP3-digest-pipeline,explain,baseline,1,591885,144597,8,21412,123177,16651,3665,1,10407,0.48625070000000004,4,173592,174359,0,0,0,2,0,3,25017,false,0,false,completed,0,1,true
EXP3-digest-pipeline__graphify__r1,EXP3-digest-pipeline,explain,graphify,1,481415,480402,20,46480,433902,9760,9746,0,11003,0.37128340000000004,22,100897,100935,14,0,0,6,1,21,58574,true,0,false,completed,0,1,true
FIX1-issue-tenant-leak__baseline__r1,FIX1-issue-tenant-leak,fix,baseline,1,867630,165141,10,16225,148906,18370,1591,1,9965,0.5859386,5,212789,203868,1,0,0,1,0,4,9958,false,0,false,completed,0,1,true
FIX1-issue-tenant-leak__graphify__r1,FIX1-issue-tenant-leak,fix,graphify,1,1384388,1383408,50,60421,1322937,15799,15787,0,10924,0.6652813999999999,28,242264,231782,10,0,0,15,1,27,66427,false,0,false,completed,0,1,true
FIX2-project-quota-off-by-one__baseline__r1,FIX2-project-quota-off-by-one,fix,baseline,1,668399,101990,6,3939,98045,17161,513,1,10353,0.48554179999999997,3,7738,200250,1,0,0,0,0,5,2779,false,0,false,completed,0,1,true
FIX2-project-quota-off-by-one__graphify__r1,FIX2-project-quota-off-by-one,fix,graphify,1,698434,697454,28,46196,651230,8466,8450,0,10931,0.40064600000000006,19,111897,109182,9,0,0,7,1,18,53787,false,0,false,completed,0,1,true
